setup_id,created_ts,updated_ts,reference_ts,resolved_ts,symbol,strategy,side,status,activation_status,trade_lifecycle,resolution_status,breakout_context,pullback_quality,risk_quality,reward_quality,quality_score,quality_grade,ideal_entry,activated_ts,activated_price,entry_price,invalidation,tp1,tp2,exit_price,tp1_hit,tp1_hit_ts,tp1_price,realized_return_pct,realized_r_multiple,outcome_r_multiple_proxy,consistency_flag,bars_observed,trend_state,trend_regime,immediate_slope,is_extended_move,active_leg_boxes,reason,reject_reason,resolution_note
bb81dc52205fe494a948477bc50dd58dfb99991b,1773004199999,1773007499999,1773004199999,1773007499999,MEXC_FUT:ETHUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,TIGHT,OK,100.0,A,1935.0,1773007439999,1935.0,1935.0,1925.0,1955.0,1965.0,1925.0,0,,,-0.516795865633075,-1.0,-1.0,OK,55,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,stop_hit_before_tp1
428716e731527b97ffaf49538848052f58454971,1773007439999,1773016439999,1773007439999,1773016439999,MEXC_FUT:TAOUSDT,pullback_retest,SHORT,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,181.0,1773007679999,181.0,181.0,185.0,173.0,169.0,185.0,0,,,-2.209944751381215,-1.0,-1.0,OK,150,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Failed bullish move / reversal short near resistance with acceptable risk profile,,stop_hit_before_tp1
55df11d04f15a75e1c5a769511eefd3924bf8a40,1773017759999,1773021479999,1773017759999,1773021479999,MEXC_FUT:SUIUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP1_PARTIAL_THEN_BE,TP1_PARTIAL_THEN_BE,POST_BREAKOUT_PULLBACK,HEALTHY,TIGHT,OK,100.0,A,0.8825,1773018419999,0.8825,0.8825,0.8775000000000001,0.8924999999999997,0.8974999999999996,0.8826765,1,1773020039999.0,0.8899999999999998,0.020000000000002707,0.03530000000000552,1.0,OK,62,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp1_partial_then_breakeven
9dd821013aa65f4539d7faafe8dfe824bcada1f1,1773017279999,1773025379999,1773017279999,1773025379999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.09875,1773021959999,0.09875,0.09875,0.09825,0.09975,0.10025,0.10025,1,1773023819999.0,0.0995,1.5189873417721533,3.0,3.0,OK,135,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
d9a85aebf7286a9e639c1cf3b3ffabf1f10c54e3,1773018539999,1773025379999,1773018539999,1773025379999,MEXC_FUT:ETHUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,TIGHT,OK,100.0,A,1940.0,1773022679999,1940.0,1940.0,1930.0,1960.0,1970.0,1970.0,1,1773023819999.0,1955.0,1.5463917525773196,3.0,3.0,OK,114,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
ca3e90e2e67759c1d1989ddebd5b19cabaacab5a,1773017759999,1773025499999,1773017759999,1773025499999,MEXC_FUT:SOLUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,TIGHT,OK,100.0,A,81.75,1773022679999,81.75,81.75,81.25,82.75,83.25,83.25,1,1773023819999.0,82.5,1.834862385321101,3.0,3.0,OK,129,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
26cea9ecf5e926395e85b5eb6dd1d0703d555d74,1773032159999,1773034979999,1773032159999,1773034979999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,90.0,A,0.10025,1773032219999,0.10025,0.10025,0.09975,0.10125,0.10175000000000001,0.10175000000000001,1,1773033779999.0,0.101,1.4962593516209488,3.0,3.0,OK,47,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
df772425653fbd0531cebb2f5f1eb6951ec5c4b4,1773036359999,1773043319999,1773036359999,1773043319999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.10025,1773040679999,0.10025,0.10025,0.09975,0.10125,0.10175000000000001,0.10175000000000001,1,1773041219999.0,0.101,1.4962593516209488,3.0,3.0,OK,116,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
826f5110e65fcedc67a70422e4e872e6a2735cbc,1773045539999,1773062819999,1773045539999,1773062819999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_TP2,TP2,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.10049999999999999,1773055079999,0.10049999999999999,0.10049999999999999,0.09999999999999999,0.10149999999999999,0.102,0.102,1,1773056159999.0,0.10124999999999999,1.4925373134328372,3.0,3.0,OK,288,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,tp2_hit_after_tp1
4f26af2f7d255b652f6b710ea9c41577e013049d,1773066479999,1773099479999,1773066479999,1773099479999,MEXC_FUT:ENAUSDT,pullback_retest,LONG,CANDIDATE,ACTIVE,ACTIVATED_STOPPED,STOPPED,POST_BREAKOUT_PULLBACK,HEALTHY,NORMAL,OK,80.0,A,0.10125,1773095939999,0.10125,0.10125,0.10075,0.10225000000000001,0.10275000000000001,0.10075,0,,,-0.4938271604938276,-1.0,-1.0,OK,550,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,Bullish pullback near support with acceptable close-confirmed risk profile,,stop_hit_before_tp1
