symbol,side,resolution_status,quality_score,quality_grade,pullback_quality,risk_quality,reward_quality,breakout_context,trend_state,trend_regime,immediate_slope,is_extended_move,active_leg_boxes,tp1_hit,ideal_entry,invalidation,tp1,tp2,entry_price,exit_price,realized_r_multiple,reason,resolution_note,reference_ts,activated_ts,resolved_ts,setup_id
MEXC_FUT:BTCUSDT,LONG,STOPPED,90.0,A,HEALTHY,TIGHT,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,65700.0,65500.0,66100.0,66300.0,65700.0,65500.0,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774661759999,1774824179999,1774824359999,2d5cbdfff8c5734d02d45bb289c292883e1c941e
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.0995,0.099,0.1005,0.101,0.0995,0.099,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1772966519999,1772971799999,1772972039999,63bd31741259757f21495fb03276188645295b1d
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09825,0.09775,0.09925,0.09975,0.09825,0.09775,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1773000899999,1773007439999,1773007499999,43edd11393637db758922f4e5c18335dc172632d
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.10125,0.10075,0.10225000000000001,0.10275000000000001,0.10125,0.10075,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1773066479999,1773095939999,1773099479999,4f26af2f7d255b652f6b710ea9c41577e013049d
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.1055,0.105,0.1065,0.107,0.1055,0.105,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1773163079999,1773163619999,1773164219999,83bef881d40f895d2de41725d37fbf7b744eb25f
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.10125,0.10075,0.10225000000000001,0.10275000000000001,0.10125,0.10075,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774135619999,1774136819999,1774136999999,f1933dd00b5dc3581d1b091616333bf4652970f9
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.0985,0.098,0.0995,0.1,0.0985,0.098,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774151639999,1774166279999,1774167059999,fe80e66d7aaa0e6baa5a70ee38830fbf48748326
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09775,0.09725,0.09875,0.09925,0.09775,0.09725,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774186979999,1774187099999,1774198919999,2b162df9dc9d07f999d1e8730f6d86c90e6e8580
MEXC_FUT:ENAUSDT,LONG,STOPPED,80.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.093,0.0925,0.094,0.0945,0.093,0.0925,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774303319999,1774305059999,1774307579999,8a6027cf8c3ad9f8e5b622d4a994166858cff11e
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.09175,0.09125,0.09275,0.09325,0.09175,0.09125,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774325519999,1774328699999,1774329119999,376845ddb8c3243032499131903eca8970c86cb3
MEXC_FUT:ENAUSDT,LONG,STOPPED,90.0,A,HEALTHY,NORMAL,OK,POST_BREAKOUT_PULLBACK,BULLISH,BULLISH_REGIME,BEARISH_PULLBACK,0,2,0,0.0945,0.094,0.0955,0.096,0.0945,0.094,-1.0,Bullish pullback near support with acceptable close-confirmed risk profile,stop_hit_before_tp1,1774354739999,1774354859999,1774357799999,d8f51b28290a484165c132d41995e65fceab6af2
