threshold_name,min_pivot_boxes,min_pivot_ratio,symbol,reaction_kind,bucket,count,percentage
SLOW,5,0.382,ETHUSDT,INTERNAL,60-70%,0,0
SLOW,5,0.382,ETHUSDT,INTERNAL,70-80%,0,0
SLOW,5,0.382,ETHUSDT,INTERNAL,80-90%,0,0
SLOW,5,0.382,ETHUSDT,INTERNAL,90-100%,0,0
SLOW,5,0.382,ETHUSDT,INTERNAL,100%+,1,50
SLOW,5,0.382,ETHUSDT,CONFIRMING,0-10%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,10-20%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,20-30%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,30-40%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,40-50%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,50-60%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,60-70%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,70-80%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,80-90%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,90-100%,0,0
SLOW,5,0.382,ETHUSDT,CONFIRMING,100%+,1,100
SLOW,5,0.382,ETHUSDT,ALL,0-10%,0,0
SLOW,5,0.382,ETHUSDT,ALL,10-20%,0,0
SLOW,5,0.382,ETHUSDT,ALL,20-30%,0,0
SLOW,5,0.382,ETHUSDT,ALL,30-40%,1,33.3333333333
SLOW,5,0.382,ETHUSDT,ALL,40-50%,0,0
SLOW,5,0.382,ETHUSDT,ALL,50-60%,0,0
SLOW,5,0.382,ETHUSDT,ALL,60-70%,0,0
SLOW,5,0.382,ETHUSDT,ALL,70-80%,0,0
SLOW,5,0.382,ETHUSDT,ALL,80-90%,0,0
SLOW,5,0.382,ETHUSDT,ALL,90-100%,0,0
SLOW,5,0.382,ETHUSDT,ALL,100%+,2,66.6666666667
SLOW,5,0.382,SOLUSDT,INTERNAL,0-10%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,10-20%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,20-30%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,30-40%,1,50
SLOW,5,0.382,SOLUSDT,INTERNAL,40-50%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,50-60%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,60-70%,1,50
SLOW,5,0.382,SOLUSDT,INTERNAL,70-80%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,80-90%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,90-100%,0,0
SLOW,5,0.382,SOLUSDT,INTERNAL,100%+,0,0
SLOW,5,0.382,SOLUSDT,CONFIRMING,0-10%,0,0
