threshold_name,min_pivot_boxes,min_pivot_ratio,symbol,harmonic_swing_id,direction,status,start_price,end_price,swing_boxes,swing_price_distance,start_ts,end_ts,birth_time,knowledge_time,knowledge_lag,knowledge_time_source,start_column_id,end_column_id,confirming_column_id,source_column_ids,reaction_column_ids,failed_extension_column_ids
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000006,UP,CONFIRMED,65100,66200,11,1100,1774824599999,1774826219999,1774827359999,1774827359999,1140000,end_ts_fallback,5,5,6,5|6,6,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000007,DOWN,CONFIRMED,66200,65900,3,300,1774826219999,1774827359999,1774830059999,1774830059999,2700000,end_ts_fallback,6,6,7,6|7,7,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000008,UP,CONFIRMED,65900,66900,10,1000,1774827359999,1774830059999,1774831979999,1774831979999,1920000,end_ts_fallback,7,7,8,7|8,8,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000009,DOWN,CONFIRMED,66900,66200,7,700,1774830059999,1774831979999,1774839059999,1774839059999,7080000,end_ts_fallback,8,8,9,8|9,9,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000010,UP,CONFIRMED,66200,67300,11,1100,1774831979999,1774839059999,1774839899999,1774839899999,840000,end_ts_fallback,9,9,10,9|10,10,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000011,DOWN,CONFIRMED,67300,67000,3,300,1774839059999,1774839899999,1774846979999,1774846979999,7080000,end_ts_fallback,10,10,11,10|11,11,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000012,UP,CONFIRMED,67000,67700,7,700,1774839899999,1774846979999,1774852619999,1774852619999,5640000,end_ts_fallback,11,11,12,11|12,12,
BASE,3,0.236,BTCUSDT,BTCUSDT:BASE:000013,DOWN,CONFIRMED,67700,67300,4,400,1774846979999,1774852619999,1774858619999,1774858619999,6000000,end_ts_fallback,12,12,13,12|13,13,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000001,DOWN,CONFIRMED,2005,1985,4,20,1774769579999,1774793219999,1774815839999,1774815839999,22620000,end_ts_fallback,0,0,1,0|1,1,
BASE,3,0.236,ETHUSDT,ETHUSDT:BASE:000002,UP,CONFIRMED,1985,2005,4,20,1774793219999,1774815839999,1774824599999,1774824599999,8760000,end_ts_fallback,1,1,2,1|2,2,
